epoch_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,participant,label,category
1789155745885,9.873986921691895,0.1982694961881265,-0.27473504236172885,-1.9622113225939364,-3.3058179615885184,1.2388364463250525,user,ohp,heavy
1789155745902,9.952097166332601,0.220864737823233,-0.29418769338848066,-1.158012149833647,-2.421143899201552,1.8071194977709262,user,ohp,heavy
1789155745918,10.043227636066078,0.25258792808661235,-0.19662377480771392,-1.9015453689424715,-1.3121548985271427,3.565520323409209,user,ohp,heavy
1789155745935,10.07495022354126,0.2002148033033125,-0.21547827727822585,-2.755819113107357,0.8086565115239573,5.166112616482109,user,ohp,heavy
1789155745952,9.998934905353188,0.1577177329686936,-0.07152679286347702,-4.847206815265983,2.434811534617571,5.89088277233238,user,ohp,heavy
1789155745968,9.933392465862632,0.008080083543155342,-0.045340467933844775,-4.548118381039825,1.7916856181242244,5.832189249247167,user,ohp,heavy
1789155745984,9.78794471500814,-0.13841519446973688,-0.04010296913916245,-3.425133468982413,0.8739137930406987,4.912016345866118,user,ohp,heavy
1789155746001,9.741705526402592,-0.23089111486226319,0.017806564320158213,-1.9724967337103292,0.4097414474834782,3.6411879337989608,user,ohp,heavy
1789155746017,9.676763975414634,-0.2876038214861415,0.06165040048807859,-1.192413891692297,0.121652672729869,2.1287189548409766,user,ohp,heavy
1789155746035,9.770286893242597,-0.2332853210889967,0.07676416379399598,-1.214238800689721,0.16011218728574142,1.7209676537269107,user,ohp,heavy
1789155746052,9.781659935650229,-0.2141317808729829,-0.006284596694819629,-1.148356290059659,1.3191468778031201,1.502608533674013,user,ohp,heavy
1789155746068,9.605836920276284,-0.10818833914475981,0.07407044946430251,-3.485439557041983,2.7494883815204014,0.41490531061984587,user,ohp,heavy
1789155746084,9.639055299267172,-0.022894905001693402,0.18614932520762084,-5.488092856598388,3.47326132975185,0.0518980251396849,user,ohp,heavy
1789155746102,9.693222942784429,0.03920470055860933,0.19138622121410442,-6.653910098384361,3.2463327768898194,-0.34277053553700404,user,ohp,heavy
1789155746118,9.726891403630376,0.09247569663024041,-0.008679200213775037,-5.068620630703463,0.2239757233456168,-0.7628477134211512,user,ohp,heavy
1789155746134,9.861417947497964,0.15292926571629942,-0.19677355854194611,-3.611410870338644,-0.6621397223996337,-0.0831625290444373,user,ohp,heavy
1789155746152,9.866205181774497,0.1798640389596345,-0.30062216514907775,-3.4343179389819647,2.0274347199690923,1.9077089743381732,user,ohp,heavy
1789155746168,9.893138196885586,0.19288255158592946,-0.36601372492685913,-3.5607831603329823,4.179991248456825,3.7016961527692804,user,ohp,heavy
1789155746185,9.771782684758305,0.10594305356915575,-0.20096353931138292,-4.9822221527973864,4.245801401770367,3.855387361925615,user,ohp,heavy
1789155746202,9.90915117405355,-0.03217247525070561,-0.08185182405551895,-9.07418635011791,5.039349855015374,4.87546800361738,user,ohp,heavy
1789155746218,10.267833679309486,-0.10519559620271902,0.051176115284766996,-12.976874479593157,2.1608729241324576,7.0779056170571275,user,ohp,heavy
1789155746235,10.031553564885257,-0.3027172331656096,-0.40970813355357383,-16.26377153652027,4.3172737819058495,7.164186274200021,user,ohp,heavy
1789155746252,9.97304643085897,-0.3782841956648277,-0.41045594711303707,-19.97716609579049,3.455870174021117,4.2202509447458185,user,ohp,heavy
1789155746268,10.649707675060629,-0.4378399414116167,-0.8602669767405372,-22.36914786200044,4.831480304702028,2.5535947141430277,user,ohp,heavy
1789155746284,11.458797614067793,-0.43514650792642495,-1.3090298033562022,-18.91615938747883,5.513182702740783,1.8003482189825046,user,ohp,heavy
1789155746302,11.580302763798832,-0.43365012732225,-1.3376104852096178,-12.134864126639616,6.823058452519257,-1.6674709441047264,user,ohp,heavy
1789155746318,12.050167177692055,-0.7112278685968835,-0.5473743454200681,-3.4194723093775306,0.37424949003941765,-6.6784223666550675,user,ohp,heavy
1789155746335,12.589159488347171,-0.8294416006832732,0.9346360803578514,-0.3514172882219757,-16.063706757994133,-15.175425288508343,user,ohp,heavy
1789155746352,12.893074046105145,-0.6952166038953932,1.5599719826629384,-8.357532166548907,-23.499171924327783,-18.908840839783164,user,ohp,heavy
1789155746368,13.795388796776532,-0.6622963995669037,2.187551873635687,-22.833395819886203,-26.235198856767735,-17.287055110045948,user,ohp,heavy
1789155746385,13.935898506706952,-0.6733696005114354,2.2082021369491702,-46.58827295126634,-23.090625866670763,-10.244415467220888,user,ohp,heavy
