epoch_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,participant,label,category
1788983667839,-0.3305488091181963,-5.863249059075117,-9.412055638885498,11.172796977323824,-7.672753622062707,-45.95154905645941,user,squat,medium
1788983667857,0.5669774651676416,-5.7695765036433935,-9.594464462390542,34.07338905203826,-24.46644965420665,-42.04155603966684,user,squat,medium
1788983667873,2.4453783051639792,-6.038774552807212,-11.042058056640624,66.26992408242705,-5.789939833475585,-39.42315862511284,user,squat,medium
1788983667890,0.9382284331608564,-5.397278145489096,-10.55917809382975,96.1378427190834,-34.829187049740604,2.565990653712954,user,squat,medium
1788983667907,1.6582845824528485,-4.988467042973637,-10.333673640441894,103.03933223384192,-38.188516555268414,47.5328881134791,user,squat,medium
1788983667923,1.7173912898074837,-6.66545683735311,-9.628132923236487,59.702594742622246,2.932708206005993,25.617717312400025,user,squat,medium
1788983667940,-3.610605156597495,-10.82867424915731,-8.602067874255775,42.098895477749096,17.746982973281682,-24.591020351836637,user,squat,medium
1788983667957,-3.142987571782991,-10.120888383373618,-9.182661192321778,61.29825670633146,-8.90592122482006,-39.296554238657485,user,squat,medium
1788983667973,-1.2589007220394908,-8.47831582238078,-10.475380451202392,112.09268650699129,-48.6055932282917,-28.24475320870679,user,squat,medium
1788983667990,-0.3248628724362701,-7.944109576958417,-10.54047280883789,136.99931965509046,-65.71341392923276,-22.50518986234146,user,squat,medium
1788983668007,-0.8149258055537939,-8.099882906994223,-9.89493677074015,146.66523944395243,-67.33212778139075,-30.02373574219185,user,squat,medium
1788983668023,-1.0102029515255242,-8.814552102550863,-8.91301481486857,150.7947581557638,-61.23106130527687,-44.09894903655266,user,squat,medium
1788983668040,-0.4303572369564324,-8.443151570019126,-7.45000796290934,144.53558646074245,-74.76304574928447,-55.73126321198837,user,squat,medium
1788983668057,-0.379181322601065,-8.488940676769614,-6.91400665076375,139.20456917203413,-91.56997612671896,-65.25669283981235,user,squat,medium
1788983668073,-0.5844840418942272,-8.951619563072919,-7.2535332046508785,136.24222050635123,-103.19652903758976,-76.9837724748874,user,squat,medium
1788983668090,-0.0921763255245983,-8.383896247974038,-7.689877626258134,139.42839447113545,-108.5585895360758,-87.91615960003146,user,squat,medium
1788983668107,0.4153944264285266,-7.740154692077636,-7.377135034400224,144.62507559924796,-117.33922118585572,-86.7611541208148,user,squat,medium
1788983668123,0.6209964209292084,-7.182755202594399,-6.920740342932939,159.69086098365196,-129.30328106437352,-84.59963830512672,user,squat,medium
1788983668139,-0.7929292969968169,-8.074594151958824,-8.04376997462809,188.02223977405475,-144.84190678463918,-100.67890081895555,user,squat,medium
1788983668157,-1.452981059442088,-8.334664307293295,-8.045266350665688,201.37777311104423,-154.2189095716096,-121.73992572847328,user,squat,medium
1788983668173,-1.4270936809264123,-8.369080956158042,-8.025963392041623,216.2001032326723,-154.09275597763946,-137.7730434842695,user,squat,medium
1788983668190,-0.7339724464416504,-8.004863613128661,-8.328680264447629,237.6876051539656,-126.1213691376314,-146.0352774364238,user,squat,medium
1788983668207,-0.5168482833862305,-7.62298786381185,-7.902811790277808,268.51432525574086,-131.42472416020115,-152.5441198663658,user,squat,medium
1788983668223,-0.3401267117373645,-7.402271813744306,-6.357204688782245,300.94725996349297,-150.57788598923756,-166.490368943913,user,squat,medium
1788983668240,0.1165674010679125,-6.3886266858756535,-4.54659008514788,328.8790180459366,-165.90320490172368,-190.4486098351884,user,squat,medium
1788983668257,0.8539812201350927,-6.279092544445395,-3.881151661228202,340.8978014000846,-164.58582533536833,-207.5504063092815,user,squat,medium
1788983668273,2.581547647802532,-5.696553353008627,-1.5982801225408911,351.2764650892157,-183.63899319495573,-217.3976676206073,user,squat,medium
1788983668290,5.211727516826987,-4.677372218322754,-0.616957009345293,351.6000521313342,-182.29485294743225,-225.8107121496355,user,squat,medium
1788983668307,6.047005790057778,-3.700838969752192,-0.0202013687685132,337.2167119280412,-167.57681981443025,-217.99995370161903,user,squat,medium
1788983668323,7.439232886394858,-2.5107699380069968,1.4460966336905956,303.7035418219166,-152.45844197341717,-201.14262335829903,user,squat,medium
1788983668340,9.496001165550949,-1.6403274124145506,2.268055991142988,242.4501594584321,-112.85133610867211,-156.1186720477353,user,squat,medium
1788983668357,10.146327945056557,-1.6539456034004687,2.3918062894523144,194.72205429319027,-72.48746577445718,-112.91237750928452,user,squat,medium
1788983668373,9.821462369206548,-1.776197772106528,2.813783163011074,150.6667467503394,-41.84636289356621,-81.37522211117958,user,squat,medium
1788983668389,9.08449950877726,-1.9868892717659472,3.1534631538942453,115.3212281351971,-27.027294187266826,-62.58061789281218,user,squat,medium
1788983668407,7.516894802746176,-1.947832688140869,3.420115902489424,90.12716696644546,-25.90000049306019,-58.31944728474881,user,squat,medium
1788983668423,6.34583091572225,-1.9204495911747217,3.4253532186210154,83.1806596748674,-35.07687361470737,-64.96145791293854,user,squat,medium
1788983668440,6.837989579010009,-1.887678955951333,1.3667889959588646,86.0839476947972,-16.73515021189953,-61.92012493969361,user,squat,medium
1788983668457,7.397634801593423,-1.6177333032906054,1.2521677605226635,92.55208902747508,-16.654460064592293,-51.89579780432439,user,squat,medium
1788983668473,8.104822701483965,-1.5861600611582398,1.7320546789973974,95.99656708629088,-20.309977308383115,-41.931122126071486,user,squat,medium
1788983668490,7.741351208385825,-1.516128785815835,1.879896046990156,89.51331737516891,-19.753094909879053,-37.90219844035606,user,squat,medium
1788983668507,6.079627372199297,-1.278355217963457,3.076848116247356,66.08815225804551,-17.398805542603817,-45.28686578228504,user,squat,medium
1788983668523,5.061192087444662,-0.7820067017704248,3.820846282140911,44.13079137846326,-12.852068140436806,-51.797986080315226,user,squat,medium
1788983668540,4.92277671944499,-0.2566290749698877,3.788374629864097,22.735030850554267,2.049018758076567,-51.68875769510838,user,squat,medium
1788983668557,5.701942060309648,1.3542185604602095,3.186831462749838,-13.808954591267144,15.52113702089583,-34.04173795542442,user,squat,medium
1788983668573,6.873752381786703,2.492063776232302,3.4663545065730808,-46.688837241511024,26.750125110747703,-5.939060365416711,user,squat,medium
1788983668590,6.948572937232256,2.730884807310998,3.1881784934446213,-69.50616333382747,28.586990082354035,19.41040212110471,user,squat,medium
1788983668607,5.867141974860429,2.577356333592534,2.364722759954631,-83.75621922565686,14.190749359266162,45.88863276891984,user,squat,medium
1788983668623,4.308364718407392,1.7036241188049317,1.420508018925786,-83.94593456004314,0.4254778831660702,53.22590884329267,user,squat,medium
1788983668640,3.1049802780151365,1.1991954642698168,0.8069947202935814,-74.05246018879302,-1.272758474116215,50.90894133718968,user,squat,medium
1788983668657,1.4631564895629885,0.0840957487910985,-0.4891662034735083,-50.31396697368446,-7.649794794941356,36.54986538092314,user,squat,medium
1788983668673,2.6316777063667773,-1.6101020777598023,-1.0565917046695947,-32.467075408318415,-20.78248467252272,41.56324472228001,user,squat,medium
1788983668690,4.196587181964516,-1.499369958716631,-1.0642229302003978,-14.523388109582246,-29.477945570899887,55.60360697640083,user,squat,medium
1788983668707,3.810969908031821,-3.261501796069741,-1.4290394081667064,2.21931244955791,-17.827095969604052,62.11106970813048,user,squat,medium
1788983668723,2.008885414996743,-4.3177942255318165,-0.2394195814937353,6.110165141861993,-9.33770443980711,47.7360145243007,user,squat,medium
1788983668740,1.7121546312630176,-4.644752974268794,0.6763616767331957,3.625560460977972,-3.493025976219163,30.248869022519223,user,squat,medium
1788983668757,2.47126327252686,-4.979190680584312,1.438165548430383,-8.55648191669304,17.893866191382806,12.152199146753109,user,squat,medium
1788983668773,4.093485119408369,-4.484938259887695,2.2053572506457564,-14.985436746555267,14.573981028311822,11.971229869599036,user,squat,medium
1788983668790,4.873996029663085,-4.725855970984697,2.7584198799684643,-25.959067969002454,10.095009347995092,12.256958026921826,user,squat,medium
1788983668807,6.146213767784833,-5.149329220581055,3.0210324132621285,-47.09264144033676,21.03152190739785,16.40179770681518,user,squat,medium
1788983668823,6.672340167126059,-5.808333812060952,2.6967677259147167,-72.5477285335042,57.63397632983551,22.4070571194413,user,squat,medium
1788983668840,6.525695899963378,-6.737583915930986,2.607733936199545,-70.02052438965363,57.41245280448448,14.819024310069786,user,squat,medium
1788983668857,6.5399108877986665,-8.952219282531738,2.582145029173791,-51.73733400048551,29.2904193121426,5.535812827008328,user,squat,medium
1788983668873,6.871059489440918,-10.56651033641398,2.9254142767205837,-43.5260771652016,22.652035514402147,-1.3869167617999272,user,squat,medium
1788983668890,6.674734368786216,-11.230900712585449,3.082384123064577,-34.13842611331512,23.553280682932623,-14.55694482897452,user,squat,medium
1788983668907,5.868486959728599,-12.48770753108561,3.64262731154114,-15.540630380787048,18.75019774347857,-39.68988775748559,user,squat,medium
1788983668923,6.2948044928401705,-12.611757104602455,4.5941722493276,1.1974477411105966,10.080039280881715,-57.4869291871943,user,squat,medium
1788983668940,6.634034109607338,-12.136359021979567,5.151873352105915,13.468144373382785,4.453109169024478,-72.63827635133106,user,squat,medium
1788983668957,7.942764007568359,-10.449793005481364,6.781126997320354,5.748232137082548,8.280835118585188,-75.55346256079503,user,squat,medium
1788983668973,10.020780826458337,-8.458115914916991,8.618376619499921,-7.145658532302715,7.901424940380149,-65.14878951130449,user,squat,medium
1788983668990,10.920103409576416,-7.382222128406166,8.811559350475669,-9.69857833837838,3.0114848331285704,-48.56227958367006,user,squat,medium
1788983669007,12.70572835071981,-6.572682107543945,7.827092678557336,1.8672704124702897,-11.038870628078216,-22.231702257784978,user,squat,medium
1788983669023,13.14596159645915,-7.08698655166626,7.897571989928186,10.095624065020392,-28.71993800700104,-7.490349151409286,user,squat,medium
1788983669040,12.783540489196776,-7.629423449817299,8.052147634612023,8.053181498454078,-34.355650034583626,0.7753342063584336,user,squat,medium
1788983669056,13.25265554602742,-9.05966083559692,8.670452259173988,-6.946056072206024,-33.6092537922738,12.674626655989044,user,squat,medium
1788983669073,14.88220905097127,-10.66736725039184,8.276754262377322,-26.316542994688003,-30.813271459299475,29.563439048740936,user,squat,medium
1788983669090,15.207521201545,-11.732786404639482,7.712171583391726,-28.321681629328644,-30.423110563340835,34.588935145685404,user,squat,medium
1788983669107,15.235651317486166,-14.045883899036047,6.297797244915365,-20.169705713398564,-29.054904144276808,30.88566463431244,user,squat,medium
1788983669123,15.408783778601885,-15.28353651973307,5.907242514580488,0.5967854842131898,-22.09630571032052,14.922955883575284,user,squat,medium
1788983669140,15.964087757110594,-15.496920327216388,5.626821937395632,19.305905349445396,-6.354705550942313,8.196040027586772,user,squat,medium
1788983669157,16.690429854804275,-14.840459575000404,6.002712474822998,42.97973033349228,1.2341314064822655,-0.2855117257034649,user,squat,medium
1788983669173,17.20637914352417,-13.575423272815346,6.0938408987298605,71.68248699963615,7.802791032349642,-4.117711876057356,user,squat,medium
1788983669190,16.684292374962567,-13.136086683654783,6.8305065297782415,69.9250246846785,11.227919165246766,-11.23027558051042,user,squat,medium
1788983669207,14.608819979858398,-12.185738846698404,8.857199111883341,53.79132214807009,9.532378491530814,-19.525367865214363,user,squat,medium
1788983669223,13.940689248114824,-10.596288804084065,8.187720180401206,36.957402278130296,9.048895013395,-21.469765627566083,user,squat,medium
1788983669240,13.622258673748371,-9.829544553375245,6.769754247173666,44.18891628830007,6.167071716705601,-17.480202614490153,user,squat,medium
1788983669257,11.737571885350343,-8.586056066131592,4.560803355950116,56.599223161146085,0.93153684405607,-18.08222231812425,user,squat,medium
1788983669273,9.63277051990926,-7.915829823413491,4.348766579161584,59.96605562947715,-2.8922734861195183,-21.785088140788893,user,squat,medium
1788983669290,8.481310912543535,-7.6894290057078,4.560055752453208,49.1873409304692,2.1062147621862537,-30.422529997261385,user,squat,medium
1788983669307,6.412419064873457,-7.282712245123088,4.739769637785852,37.867186890670574,2.6196974983738226,-39.55199306833221,user,squat,medium
1788983669323,5.9691948206245895,-6.260688872748613,4.038269428142905,31.837007532857665,-1.7952123436134784,-41.871040367037466,user,squat,medium
1788983669340,5.766434113964438,-5.770475498309732,3.7514132649526,27.43809591489724,-10.938664922764955,-43.34266268032466,user,squat,medium
1788983669357,4.2229228157043455,-5.021838858960568,3.678541213226318,20.37728882265359,-16.00031064966537,-51.86712125509409,user,squat,medium
1788983669373,3.522319554901123,-4.211102321790158,2.931699932861328,11.049471081670074,-10.665330143691156,-59.23711052049671,user,squat,medium
1788983669390,4.217235417717695,-3.673304189355671,2.4637819768607616,10.669027837353072,-7.456506417845519,-52.98629214683029,user,squat,medium
1788983669407,5.45803276618123,-2.644396902686357,1.600074604742229,18.975534221933756,-9.291569073284611,-41.93439378668392,user,squat,medium
1788983669423,5.053710791778564,-2.512415951648354,1.400158766119182,31.650977085528613,-10.98258303912814,-36.14559331413926,user,squat,medium
1788983669440,4.173094078174233,-2.55326760199666,1.6374837134212257,36.74551614969816,-5.951996316817892,-44.67597366291909,user,squat,medium
1788983669457,3.732560972705483,-2.824410940009356,2.285863742773235,34.7498339119634,-3.0072178858880165,-46.8212677793284,user,squat,medium
1788983669473,4.8719022722542284,-2.686893689893186,2.889801403808593,29.6398176391346,-12.60232654230352,-42.96538693623525,user,squat,medium
1788983669490,4.811595979851484,-2.5315692726686594,2.946662524193525,23.25380079348966,-11.843170652850468,-41.391178596709054,user,squat,medium
1788983669507,5.096807590705156,-2.244864792908728,2.453907356317341,18.933584907598828,-6.908471248750737,-37.34466034369168,user,squat,medium
1788983669523,5.493942868474125,-1.9731214431762691,1.9436407894089816,18.480668233546112,-11.676562702199991,-33.24108952053719,user,squat,medium
1788983669539,5.129875747570395,-1.824531887164712,2.224361226323247,14.427212215879296,-16.58164683294537,-38.56519465780544,user,squat,medium
1788983669557,4.389018802312016,-1.4893430702209471,2.350505726292729,12.243344606132345,-22.40938962904286,-45.61527493795759,user,squat,medium
1788983669573,5.225495929938554,-0.9660615389168262,1.7503110511779785,21.142054858736163,-23.014450474404903,-45.17692364230992,user,squat,medium
1788983669590,5.990442191314697,-0.7490867212042212,1.5001161009088158,27.66009584594287,-21.70110242720712,-37.55130771703041,user,squat,medium
1788983669607,6.002414368659258,-0.723798404560238,2.070984143774212,20.7780484646568,-13.508591046100308,-32.68718849960583,user,squat,medium
1788983669623,5.575348647528887,-0.8497932669259607,2.500294428960979,6.2035466344207615,-4.236436358644633,-31.23208499882632,user,squat,medium
1788983669640,5.459080229407548,-1.0639246779061853,2.4999951537534595,-1.7333569765510792,-3.92291189272083,-30.012435194210063,user,squat,medium
1788983669657,5.230733246070146,-0.9678568979009984,1.5152306679323315,2.7025560172991283,-5.440627310735031,-30.06716891512396,user,squat,medium
1788983669673,5.348646508789062,-0.8173213223882019,1.2207429869502782,10.44339936831087,-7.4931068402866785,-28.05846492173657,user,squat,medium
1788983669690,5.197960857281089,-0.6988086324714123,1.323693658336997,17.465299141721186,-9.699734347895406,-30.27768900572209,user,squat,medium
1788983669707,4.9926574804008,-0.8764284681342541,2.450164954918623,16.13682393305912,-13.435449965373229,-31.22790492305427,user,squat,medium
1788983669723,5.093514394378662,-1.0981908123843371,2.8473037398189303,11.813486650717593,-11.55780193423275,-31.280500794757952,user,squat,medium
