epoch_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,participant,label,category
1789155876299,9.808145206993817,-1.020229474695027,-0.4107561173697002,-24.058950323039934,14.075483086833026,-2.6337147540979813,user,squat,heavy
1789155876317,9.929799994328617,-1.061679529327899,-0.7170639817386866,0.007487007074481354,3.963011079564329,0.41749371219144266,user,squat,heavy
1789155876333,9.64698609226644,-1.4833581505924462,-0.4905130697715096,15.414722673627033,-4.237273910591606,-3.459632114149913,user,squat,heavy
1789155876350,9.549721065300702,-1.7546511262089013,-0.1001085980948992,17.75879066280934,6.237492674595725,-3.572944739037013,user,squat,heavy
1789155876367,9.790638191875814,-1.6968908650271592,0.27413530463660135,11.103707906321853,13.279483449449632,4.090879904789784,user,squat,heavy
1789155876383,9.786298701366782,-1.4833580044619739,0.8316852080417331,2.1240976915372283,16.125297988834724,10.091624135487704,user,squat,heavy
1789155876400,9.061754593005777,-1.7721591642402112,0.7350190191854024,-5.265971689694989,16.74056655191135,7.141590727765149,user,squat,heavy
1789155876416,8.92618175495565,-1.6312003953680394,0.6379044609404867,-4.926799436550964,14.025632097402042,2.8814587353424495,user,squat,heavy
1789155876433,9.252092455944418,-1.516577990888059,-0.3241162039460556,2.616711211602646,13.493019922339972,0.5781622263892096,user,squat,heavy
1789155876450,9.483431606835126,-1.4039005829960107,-0.390255742821726,17.504796418144075,5.127761958066134,-1.6992102995692466,user,squat,heavy
1789155876467,9.3346929977417,-1.7033257203802465,-0.25558208210102745,24.642134072490425,1.0581352540959026,-7.712127955080539,user,squat,heavy
1789155876483,9.770436530846357,-1.2580036270692945,0.27428500160586555,24.553599452921425,2.0300765090740063,-5.429669979759038,user,squat,heavy
1789155876500,9.90930022713542,-1.6319481449954212,0.0531210388074629,21.88738388398817,8.927150306534108,-3.9026091554129674,user,squat,heavy
1789155876517,9.917829570549726,-1.545008989471942,0.25378474578890015,17.03774466760402,11.569117850140168,-1.19310598195429,user,squat,heavy
1789155876533,9.543137010735272,-1.553388695282489,0.3731953800592571,13.489524573032218,8.679845378387224,-1.6388385776606214,user,squat,heavy
1789155876550,9.447519750976562,-1.394922472900897,0.16100973285194486,11.802462725397191,0.19803869362230161,-4.477935625997005,user,squat,heavy
1789155876567,9.466823001861572,-1.3126219369634986,-0.07766275660153478,7.944644669900698,3.283902659306298,-5.535105902429232,user,squat,heavy
1789155876583,9.349206091740728,-1.3298299691349267,-0.6892308942490257,3.30940445123301,18.072485883462395,-8.093936383457898,user,squat,heavy
1789155876600,10.027514518627523,-1.2279269071049987,-0.8456026651020161,3.380960074299002,23.627910744898767,-9.051397423952162,user,squat,heavy
1789155876617,10.146924157384037,-1.2578541355960071,-0.9454111112065613,10.31517878834316,17.77937002277859,-8.901754809426354,user,squat,heavy
1789155876633,9.740358203446865,-1.188122866113484,-0.6319203313298523,16.11754572412676,11.68816121718432,-11.412505027566361,user,squat,heavy
1789155876650,9.6206510430485,-1.2033861208926886,-0.33444066545758394,18.7721021601468,5.438363103025171,-14.698252905165619,user,squat,heavy
1789155876667,9.528922607421874,-1.17600265860036,0.2217625269131735,15.647415265818319,1.9531019846752549,-20.28047601381054,user,squat,heavy
1789155876683,9.536703762817382,-1.1151000077396631,0.5065219370199368,10.42085035253972,2.368252194929443,-24.053440067927024,user,squat,heavy
1789155876700,9.89523487690389,-0.9451118359990417,0.46282848737444726,5.796994565114561,2.5475734755028383,-21.641696856900936,user,squat,heavy
1789155876717,10.294617056816815,-0.5526119629457593,0.3800791482236236,-0.8886730847851558,7.291488193724365,-13.603012434960212,user,squat,heavy
1789155876733,9.946260715264081,-0.3619743133429438,0.5238802643822505,-6.723598091599178,11.688474552112494,-9.386699094270904,user,squat,heavy
1789155876750,9.861715469139813,-0.24226408420465886,0.6474817288054153,-9.308603565074625,9.380112230590074,-8.30248169561225,user,squat,heavy
1789155876767,9.85782547596395,-0.22116488981358706,0.5159502020353451,-5.201892989336044,-0.15360892672117693,-8.4129617129845,user,squat,heavy
1789155876783,10.200046675762534,-0.24884813877008854,0.18435217612516133,1.417606509288087,-4.217410012937917,-5.247859308676584,user,squat,heavy
1789155876800,10.167874590954185,-0.29703130105026065,0.17567337777018546,5.6767162144911065,-2.615343466221351,-0.2227586956933116,user,squat,heavy
1789155876817,10.03035587953329,-0.5995983166567981,0.15891469680145381,6.477875206018799,8.097768119582275,5.542121360480482,user,squat,heavy
1789155876833,9.815178758892417,-1.119140296106413,0.7303805228969081,4.347433335959687,11.337451493871676,6.241696656029867,user,squat,heavy
1789155876850,9.816524328282474,-1.3058878064028918,0.937628750234656,3.3219732799663024,10.17611357552076,6.62043277994119,user,squat,heavy
1789155876867,9.942072031402587,-1.4773725733768195,1.134102522112429,2.2440242874184277,7.7180719272057425,6.577420944303504,user,squat,heavy
1789155876883,9.894486688885092,-1.4998186523322015,1.1845306137751788,0.6938047995569302,9.084864497111578,5.454147670197071,user,squat,heavy
1789155876900,9.847349090135097,-1.4933835777834057,1.2623419485345482,-2.0327575717666475,11.39008578538944,3.929870574824604,user,squat,heavy
1789155876917,9.96571301923096,-1.4137765917789191,1.2958604064505546,-2.583605711582418,9.789417293018612,1.8706268101171162,user,squat,heavy
1789155876933,9.958529829728603,-1.2397481316715477,1.2496221676930785,-0.7886482727631983,5.569963772858392,0.07633540145335915,user,squat,heavy
1789155876950,9.996241428485511,-1.1613382464971393,1.127667666759342,0.34467989357513995,4.341897894524215,-1.0657360807033631,user,squat,heavy
1789155876967,10.09499932435751,-0.9093479372438042,0.8852545294728129,2.136245609862919,5.339616923760182,-2.1714900263104195,user,squat,heavy
1789155876983,9.954640421074629,-0.6666358900759368,0.6028887365043163,4.301841823249852,6.933083408538054,-2.12290432942318,user,squat,heavy
1789155877000,9.919923327958584,-0.5738607218753546,0.5556031075857579,7.2257006654124485,5.888649727360609,-1.793360295131347,user,squat,heavy
1789155877017,9.50617652260661,-0.46447563352696597,0.6260826381523161,9.194261075726734,7.785801790562881,-1.4922409468441682,user,squat,heavy
1789155877033,8.932166674584149,-0.26979703797027466,0.7914324825678021,9.44223280109134,8.707301031303382,-1.4147793445802306,user,squat,heavy
1789155877050,8.684815131047367,-0.052523383441567414,0.8375211567867547,8.358498638316464,8.91747619734843,-0.8376830545883661,user,squat,heavy
1789155877067,8.464250472149253,0.44741592378504574,0.8913904749445617,6.052535847626833,6.022112050629481,0.024387063699504913,user,squat,heavy
1789155877082,8.723723246112465,0.9715960844293237,0.5675749926693737,5.372821461523375,5.593693984469132,5.549468936480123,user,squat,heavy
1789155877100,8.706363530510664,1.2343599358271806,0.3661623396173119,3.28082608597203,10.025762328868563,14.642151438870428,user,squat,heavy
1789155877117,8.115745662036538,1.5482998477108776,0.04758402734324336,0.06383740925227875,17.274844439357256,26.218671506523595,user,squat,heavy
1789155877133,6.8578902112662785,1.544109629479423,-0.0034430531259626146,-4.189702496796113,21.49013154412377,30.731244302462205,user,squat,heavy
1789155877150,6.2195361936271185,1.4772220589902252,0.021546645897626875,-9.214748228142188,22.554150365859403,33.00922167368818,user,squat,heavy
1789155877167,5.315724482396245,1.181688156890869,-0.4372415896426886,-10.412244314185504,27.492529107487655,33.93624226859899,user,squat,heavy
1789155877183,4.442290958294272,0.7426506968073546,-0.8704428909186274,-5.601206765669323,31.125090085478067,34.37268794146822,user,squat,heavy
