epoch_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,participant,label,category
1788983570992,-2.548327667084668,-3.750366678509116,-11.342530364990234,0.9937410843746686,-22.45660843432245,-5.207973138357825,user,squat,heavy
1788983571009,-1.5031089808481743,-4.598213049151003,-11.37021332168579,11.355764938583771,-59.27335150423279,7.0983654487159,user,squat,heavy
1788983571025,-1.669506032761652,-2.7923867392390966,-12.661585842132569,16.014814556367888,-40.820058668880094,-8.056667456251724,user,squat,heavy
1788983571042,-1.4155710739802567,-2.9421739806026217,-13.450176013946532,8.562222690690435,-11.414495173935771,-27.856624294026236,user,squat,heavy
1788983571059,-2.822314150393195,-3.806181212450564,-12.490401007953285,18.96892430636447,-47.66601874568641,-18.92510181264967,user,squat,heavy
1788983571075,-2.104801876897737,-4.211100860485434,-13.603255282592771,25.228785850491988,-42.75671782690219,-28.004933314116595,user,squat,heavy
1788983571092,-1.4853022338649258,-4.243721565844118,-14.309544772338866,38.47720474582275,-28.507377397388368,-29.756979289062414,user,squat,heavy
1788983571109,-4.196735504394025,-5.978769581438601,-14.43598854751587,61.072095482534,-9.781411457537711,-42.11216653530643,user,squat,heavy
1788983571125,-5.809978510528057,-7.351994163402915,-13.116184882354736,75.93983953195348,25.531996730769077,-55.06027225811549,user,squat,heavy
1788983571142,-4.123562862285971,-6.666803575786948,-11.058369139972328,80.88506041558279,5.825012001089954,-53.95480272585434,user,squat,heavy
1788983571158,-2.739414917910285,-6.95590313398987,-9.839421219745278,95.02290312953804,-21.08507742067992,-52.12778517948387,user,squat,heavy
1788983571175,-2.887256980022788,-7.531708633257448,-9.887155615344644,122.7142931947106,-63.05876528565892,-48.38548696719345,user,squat,heavy
1788983571192,-3.080738401684165,-7.293934773144126,-9.501838785663246,132.13018707881508,-87.34057955867449,-53.85724371884447,user,squat,heavy
1788983571208,-3.206882901653647,-6.982239644512534,-8.330026710620523,134.4321657347845,-112.96082404106744,-58.28617060311251,user,squat,heavy
1788983571225,-3.2686832320064303,-7.362767486351728,-8.192510337287187,138.51230217889668,-171.36256144493657,-62.92059738893873,user,squat,heavy
1788983571242,-3.552695550072938,-7.873181937298178,-8.724172158923745,136.652714875469,-196.7752091576961,-71.5107145721995,user,squat,heavy
1788983571258,-4.908561877740175,-8.026710118755698,-9.030929246631263,124.30414266743614,-194.7532545973189,-84.77943620483813,user,squat,heavy
1788983571275,-6.488735265704244,-8.002019914135337,-10.065074726215004,121.26229059981428,-185.8975455081822,-112.96216958833392,user,squat,heavy
1788983571291,-6.31126492151469,-7.864353903198242,-10.748320024982094,128.47670523139692,-165.87882112638675,-124.70782050776224,user,squat,heavy
1788983571308,-5.851578202764689,-7.087584517559408,-12.274922858539224,160.9910284732989,-187.02619328739175,-126.36267972100794,user,squat,heavy
1788983571325,-6.536768936511129,-6.962188790130615,-11.990761048999428,203.670968143741,-161.27133943683623,-130.31821985428076,user,squat,heavy
1788983571341,-6.810156984710693,-7.40586370075643,-11.392809184375404,227.1184474888828,-146.28959269998006,-154.3341895044211,user,squat,heavy
1788983571358,-6.035782385253906,-7.401374572643637,-9.150041071484983,238.54241698897104,-167.77735416846184,-184.37259649295007,user,squat,heavy
1788983571375,-5.17791000289917,-7.627925904735922,-8.56391057755798,259.450145132757,-213.29475932580232,-207.8396921413882,user,squat,heavy
1788983571392,-5.327697244262695,-7.560739205169678,-8.634240251325071,278.3492512454256,-226.35137626395536,-231.0021067113304,user,squat,heavy
1788983571408,-5.28729523737803,-7.324909757122397,-7.676260165924578,290.66962843256465,-228.31203670672087,-261.2535336396938,user,squat,heavy
1788983571425,-2.0334257262850177,-6.938994377025962,-6.616676732093096,297.1182559147838,-208.30833874109948,-279.0941516763072,user,squat,heavy
1788983571441,-0.7240967299196869,-6.783672297888994,-5.528511858356371,291.62702970890365,-204.8759091359796,-279.7260807783168,user,squat,heavy
1788983571458,1.3162119242794812,-6.240337574115396,-3.653552870476176,283.6296431720058,-209.50043897769848,-271.69293137092467,user,squat,heavy
1788983571475,2.0087350467406213,-6.029499359461664,-2.9759934672918167,276.8304903815816,-209.80830292434763,-259.6564714872047,user,squat,heavy
1788983571491,2.805405210766196,-5.371989974975586,-2.3784910269357264,260.7154240161235,-197.17778050737667,-248.02411291553943,user,squat,heavy
1788983571508,4.026448057445884,-4.530278453826904,-1.578378613501787,241.4213963656448,-183.7335776545821,-236.0058486557684,user,squat,heavy
1788983571525,5.023783271026611,-4.112941515028476,-0.7221513680055737,213.4432476383584,-162.55757334057634,-212.10164822120612,user,squat,heavy
1788983571541,5.113715470886231,-3.9282869584232567,-0.4293108697086572,192.92856956055,-151.4301843146284,-197.3030325163764,user,squat,heavy
1788983571558,5.142444721764326,-3.469945809063315,0.0281312849849462,172.35937291278654,-136.56557532203797,-185.79022957594293,user,squat,heavy
1788983571575,5.393538374438881,-3.117402537214756,0.2091936623170971,154.64355609268765,-121.54999182803355,-174.51160650139258,user,squat,heavy
1788983571591,5.769427450561524,-2.829347811889648,0.587625993181765,132.2232005949323,-125.96915154178848,-153.4674794798815,user,squat,heavy
1788983571608,6.842478122600912,-2.546682962909341,0.9365808851495384,111.27798154279218,-108.32613087786356,-135.95435535359186,user,squat,heavy
1788983571624,7.089380753326416,-2.511668348151445,0.6217442436218261,92.3506462582839,-94.06498958901126,-117.16145868251697,user,squat,heavy
1788983571641,7.02892716140747,-2.659659353747964,1.0853209555476904,80.27873086258242,-93.40754290026253,-99.54972711517988,user,squat,heavy
1788983571658,6.619816783684492,-2.3823802894592285,1.4145236838191746,67.57220210052753,-80.28276067419273,-92.16545933931737,user,squat,heavy
1788983571674,6.560113133350014,-2.365771684485674,1.510740663036704,53.710302444135394,-66.17785996260446,-86.83270718255986,user,squat,heavy
1788983571691,6.947821826604009,-1.8484733192443847,1.047313296453655,41.24070952929367,-8.613417519840619,-70.12062764212934,user,squat,heavy
1788983571708,7.19472679541707,-2.4540578707039358,0.5217863243103027,46.02132626902026,3.187613000264985,-60.67670949186029,user,squat,heavy
1788983571724,7.22659902049601,-3.090017978943884,1.1727096084043382,56.32287029223278,-2.587731999614752,-57.4701883935386,user,squat,heavy
1788983571741,6.44130087596476,-2.906262709265947,3.5202240439265964,43.90737930580673,-41.10038670789034,-72.10631389801378,user,squat,heavy
1788983571758,6.834695798161626,-3.0111577927187083,3.963599971605837,18.754343668304767,-39.98133534446463,-75.9362127015042,user,squat,heavy
1788983571774,7.299921446338295,-2.883069465205073,3.5676600411012767,-10.914923185209991,-21.585260711336414,-73.17235616329103,user,squat,heavy
1788983571791,8.622717279052734,-2.1622645433723924,2.912246752111613,-45.94108520665095,11.666439508076389,-53.87157004062856,user,squat,heavy
1788983571807,9.286810133582351,-1.7814374263256787,2.5380033973693847,-65.54611527570246,29.26826217847508,-38.1933933103358,user,squat,heavy
1788983571824,9.281123904639482,-1.5927444079846145,2.416048750305176,-77.03960244116308,37.52027475253646,-28.346283970719032,user,squat,heavy
1788983571841,8.830564495196938,-1.4543290399849411,2.1972785736083984,-80.57604899715308,36.76128705649172,-27.726842162059526,user,squat,heavy
1788983571857,9.249697085240484,-1.5334864555910228,1.7853250814139845,-72.71930971564409,31.04777234407352,-26.24370756492628,user,squat,heavy
1788983571874,9.709087451392412,-1.7396882426157592,1.2964596144527196,-58.254027732878434,23.892435433716894,-20.374500397924933,user,squat,heavy
1788983571891,10.542565981724858,-2.7421093811586497,0.8904922109305858,-40.80646317733719,23.04274624058897,-5.153205693384901,user,squat,heavy
1788983571907,10.602721467480064,-3.902848273523152,1.1149486165702345,-35.01188094966011,27.683653168390244,6.3843916875093045,user,squat,heavy
